;;;;;;;
Dzień;Stawka;Łączna kwota;Procent rabatu;;Cena bazowa;Rabat progowy (%);Rabat progowy (%)
1;zł450,00;zł450,00;0,00%;;zł450,00;Próg 1;0,00%
2;zł450,00;zł900,00;0,00%;;;Próg 2;10,00%
3;zł405,00;zł1 305,00;10,00%;;;Próg 3;20,00%
4;zł405,00;zł1 710,00;10,00%;;;Próg 4;30,00%
5;zł405,00;zł2 115,00;10,00%;;;Próg 5;40,00%
6;zł405,00;zł2 520,00;10,00%;;;;
7;zł405,00;zł2 925,00;10,00%;;;;
8;zł360,00;zł3 285,00;20,00%;;;;
9;zł360,00;zł3 645,00;20,00%;;;;
10;zł360,00;zł4 005,00;20,00%;;;;
11;zł360,00;zł4 365,00;20,00%;;;;
12;zł360,00;zł4 725,00;20,00%;;;;
13;zł360,00;zł5 085,00;20,00%;;;;
14;zł360,00;zł5 445,00;20,00%;;;;
15;zł360,00;zł5 805,00;20,00%;;;;
16;zł360,00;zł6 165,00;20,00%;;;;
17;zł360,00;zł6 525,00;20,00%;;;;
18;zł360,00;zł6 885,00;20,00%;;;;
19;zł315,00;zł7 200,00;30,00%;;;;
20;zł315,00;zł7 515,00;30,00%;;;;
21;zł315,00;zł7 830,00;30,00%;;;;
22;zł315,00;zł8 145,00;30,00%;;;;
23;zł315,00;zł8 460,00;30,00%;;;;
24;zł315,00;zł8 775,00;30,00%;;;;
25;zł315,00;zł9 090,00;30,00%;;;;
26;zł315,00;zł9 405,00;30,00%;;;;
27;zł315,00;zł9 720,00;30,00%;;;;
28;zł315,00;zł10 035,00;30,00%;;;;
29;zł315,00;zł10 350,00;30,00%;;;;
30;zł270,00;zł10 620,00;40,00%;;;;
31;zł270,00;zł10 890,00;40,00%;;;;
32;zł270,00;zł11 160,00;40,00%;;;;
33;zł270,00;zł11 430,00;40,00%;;;;
34;zł270,00;zł11 700,00;40,00%;;;;
35;zł270,00;zł11 970,00;40,00%;;;;
36;zł270,00;zł12 240,00;40,00%;;;;
37;zł270,00;zł12 510,00;40,00%;;;;
